,frequency,percentage
d,41209869,0.05996696945959555
p,16925957,0.02462998235916323
s,36047071,0.05245427025659491
t,23013584,0.03348845609977156
f,30253398,0.044023546736219644
m,35367516,0.05146540873094639
h,26126822,0.038018716753268234
j,9588445,0.013952725461952128
v,23450104,0.03412366271759659
k,14621131,0.021276090834982896
fr,5706159,0.008303376613126247
sk,4827341,0.007024555460684756
bl,5195778,0.007560690392993933
l,16319930,0.02374811586740878
n,15761631,0.022935701271227397
b,16325184,0.023755761280150587
hv,4106688,0.005975889752915437
th,1588810,0.0023119733951859935
fl,1994425,0.0029022082808478197
sl,2193016,0.0031911900398519685
g,7927134,0.011535251482602905
gj,3031408,0.004411184877961482
sv,1800395,0.002619863508428249
st,7732506,0.011252036524264111
skr,1413500,0.002056869225455153
tr,3804127,0.005535614967119232
kl,2308858,0.0033597587309132887
br,3043131,0.004428243723331139
r,10810063,0.015730375599526995
kr,2249667,0.003273626331674579
pr,4108548,0.00597859635125951
gr,2327187,0.0033864303658856037
pl,1212990,0.0017650950136433293
sp,2691611,0.003916725739509423
kv,940142,0.001368057408813483
skj,758581,0.0011038570314219989
kj,1872879,0.0027253393548646774
sm,663413,0.0009653723264710854
pm,125651,0.00018284235942530273
x,227511,0.0003310649977732772
hj,958412,0.001394643189322196
sn,728153,0.0010595794107696116
c,2202970,0.003205674706473957
vg,95932,0.00013959644749654313
nrk,104713,0.00015237421096928576
w,1316613,0.0019158830997765726
tv,469389,0.000683036285013915
nr,157814,0.00022964468337175769
gl,630494,0.000917469901262201
kn,469398,0.0006830493814575152
dr,1248248,0.001816401059027905
frp,83720,0.00012182602869126664
bj,224716,0.00032699782445516813
mvh,59794,8.700986095993309e-05
sj,715605,0.001041320058069922
q,191995,0.00027938352100549137
mm,64654,9.408194050412271e-05
tj,271116,0.00039451726701697856
chr,153292,0.00022306444804278124
pc,83725,0.00012183330449326683
cm,48592,7.0709154158696e-05
km,52886,7.695761291646354e-05
fj,345658,0.0005029878335566871
kg,44229,6.436028933332576e-05
pg,58776,8.552850767269337e-05
spr,291989,0.00042489083004699303
ps,156723,0.00022805710337531513
xf,33570,4.884973462930986e-05
wh,167124,0.00024319222669612095
str,819958,0.0011931704112951938
dvd,46287,6.735500943660606e-05
mg,29485,4.290540439515047e-05
dvs,47458,6.905900226505174e-05
mp,29635,4.312367845515632e-05
rsq,24738,3.5997757976165246e-05
fn,43439,6.321071261729493e-05
ntb,29694,4.320953291875862e-05
cd,46404,6.752526320341062e-05
sc,254155,0.00036983629147191677
fns,22644,3.2950652098483536e-05
nm,27982,4.0718298313891824e-05
gb,22405,3.260286876287421e-05
ch,362956,0.0005281591981565621
mnd,29355,4.2716233543145396e-05
sh,302797,0.00044061820365061475
hd,28652,4.169325578191796e-05
vs,22199,3.2303105720466173e-05
sms,23277,3.3871768631708237e-05
rbk,26290,3.82561669170258e-05
vm,31269,4.5501410548820075e-05
dnb,23914,3.479870580653309e-05
mb,22368,3.254902782807277e-05
tlf,34244,4.983051273893616e-05
gps,26023,3.786763909021538e-05
stk,25825,3.7579517331007657e-05
krf,20743,3.0184392178009364e-05
jf,21216,3.087268304722782e-05
fm,20008,2.9114849283980686e-05
ntn,18468,2.6873902267920596e-05
bmw,17128,2.4923987331868313e-05
